Step,convex,mask
1,0.8206 ,0.7950 
2,0.8054 ,0.8081 
3,0.8370 ,0.7848 
4,0.8487 ,0.7997 
5,0.8204 ,0.8498 
6,0.8454 ,0.8482 
7,0.8501 ,0.8366 
8,0.8507 ,0.8503 
9,0.8504 ,0.8359 
10,0.8460 ,0.8249 
11,0.8797 ,0.8761 
12,0.8807 ,0.8781 
13,0.8808 ,0.8771 
14,0.8797 ,0.8785 
15,0.8796 ,0.8789 
16,0.8808 ,0.8775 
17,0.8787 ,0.8785 
18,0.8791 ,0.8793 
19,0.8783 ,0.8788 
20,0.8772 ,0.8774 
21,0.8781 ,0.8784 
22,0.8774 ,0.8785 
23,0.8781 ,0.8788 
24,0.8792 ,0.8778 
25,0.8792 ,0.8780 
26,0.8789 ,0.8794 
27,0.8784 ,0.8790 
28,0.8783 ,0.8795 
29,0.8785 ,0.8791 
30,0.8793 ,0.8786 
31,0.8792 ,0.8783 
32,0.8793 ,0.8789 
33,0.8801 ,0.8784 
34,0.8796 ,0.8777 
35,0.8782 ,0.8784 
36,0.8800 ,0.8788 
37,0.8790 ,0.8783 
38,0.8793 ,0.8783 
39,0.8797 ,0.8786 
40,0.8801 ,0.8786 
