Step,dual,ternary
1,0.820599973,0.830200016
2,0.805400014,0.853600025
3,0.837000012,0.83829999
4,0.848699987,0.826499999
5,0.8204,0.823099971
6,0.845399976,0.83829999
7,0.850099981,0.828700006
8,0.850700021,0.848100007
9,0.850399971,0.835099995
10,0.846000016,0.841099977
11,0.879700005,0.877600014
12,0.880699992,0.879499972
13,0.880800009,0.879299998
14,0.879700005,0.880699992
15,0.879599988,0.879899979
16,0.880800009,0.880200028
17,0.878700018,0.879199982
18,0.879100025,0.880800009
19,0.878300011,0.877600014
20,0.877200007,0.879100025
21,0.878099978,0.879899979
22,0.877399981,0.879700005
23,0.878099978,0.879499972
24,0.879199982,0.879599988
25,0.879199982,0.878300011
26,0.878899992,0.877399981
27,0.878400028,0.878199995
28,0.878300011,0.878000021
29,0.878499985,0.878499985
30,0.879299998,0.879000008
31,0.879199982,0.879700005
32,0.879299998,0.879000008
33,0.880100012,0.879599988
34,0.879599988,0.879700005
35,0.878199995,0.879599988
36,0.879999995,0.878199995
37,0.879000008,0.878799975
38,0.879299998,0.880200028
39,0.879700005,0.879199982
40,0.880100012,0.879999995
