Adversary Model,std-normal,std-omfgsm,repmix-0.5-normal,repmix-0.5-omfgsm,repmix-2.0-normal,repmix-2.0-omfgsm,
AlexNet,79.36,22.67,79.54,23.99,79.37,23.44,
ResNet18,79.36,19.76,80.08,20.61,79.7,20.93,
ResNet34,79.36,17.81,79.95,19.02,80.1,19.51,
ResNet50,79.36,20.93,79.82,22.2,79.74,22.79,
VGG19,79.36,24.61,79.51,26.06,79.95,25.5,
GoogleNet,79.36,21.09,79.61,21.98,80,22.06,
