Adversary Model,std-normal,std-omfgsm,repmix-0.5-normal,repmix-0.5-omfgsm,repmix-2.0-normal,repmix-2.0-omfgsm
AlexNet,76.57,22.45,75.2,23.25,75.41,23.48
ResNet18,76.57,19.36,76.21,20.06,77.47,20.18
ResNet34,76.57,16.96,76.28,17.49,77.47,18.58
VGG19,76.57,24.47,77.5,26.26,75.56,25.56
DenseNet169,76.57,19.2,75.9,20.32,75.4,20.38
GoogleNet,76.57,20.23,75.12,21.18,75.8,21.39
