Step,dual,ternary
1,0.776199996,0.789900005
2,0.795700014,0.785399973
3,0.80250001,0.810199976
4,0.811600029,0.790899992
5,0.800899982,0.818700016
6,0.83099997,0.827799976
7,0.81279999,0.806100011
8,0.832099974,0.833899975
9,0.828499973,0.819700003
10,0.827700019,0.838500023
11,0.86680001,0.870299995
12,0.869300008,0.870899975
13,0.870299995,0.869199991
14,0.871800005,0.870999992
15,0.868200004,0.866999984
16,0.866100013,0.865199983
17,0.865100026,0.866400003
18,0.8653,0.868300021
19,0.861299992,0.865999997
20,0.864400029,0.866699994
21,0.866900027,0.868600011
22,0.867200017,0.868200004
23,0.867299974,0.867799997
24,0.867900014,0.868099988
25,0.8671,0.868600011
26,0.867600024,0.867699981
27,0.86680001,0.867699981
28,0.86650002,0.867399991
29,0.865700006,0.868499994
30,0.867999971,0.867600024
31,0.868499994,0.867699981
32,0.868600011,0.8671
33,0.867600024,0.867699981
34,0.868300021,0.867799997
35,0.866900027,0.867900014
36,0.868099988,0.866999984
37,0.8671,0.867200017
38,0.867600024,0.868200004
39,0.868600011,0.867999971
40,0.867600024,0.868099988
