Step,dual,ternary
1,0.175999999,0.175699994
2,0.120800003,0.157000005
3,0.168799996,0.166299999
4,0.171599999,0.197799996
5,0.186199993,0.177000001
6,0.214499995,0.195800006
7,0.161200002,0.178900003
8,0.191300005,0.196500003
9,0.163200006,0.163399994
10,0.182300001,0.185599998
11,0.226199999,0.208800003
12,0.229100004,0.219699994
13,0.232800007,0.222100005
14,0.230100006,0.2245
15,0.240799993,0.235599995
16,0.230499998,0.241099998
17,0.245700002,0.248300001
18,0.250999987,0.262199998
19,0.2447,0.252499998
20,0.270200014,0.25150001
21,0.272599995,0.252000004
22,0.271800011,0.256000012
23,0.274399996,0.262100011
24,0.274800003,0.269199997
25,0.281500012,0.266799986
26,0.279500008,0.267199993
27,0.283600003,0.271699995
28,0.284399986,0.271600008
29,0.282999992,0.26820001
30,0.284299999,0.278699994
31,0.284200013,0.273299992
32,0.28459999,0.273400009
33,0.280800015,0.276600003
34,0.283600003,0.278699994
35,0.286599994,0.272500008
36,0.284000009,0.273799986
37,0.289200008,0.271800011
38,0.286799997,0.275299996
39,0.286300004,0.2764
40,0.287200004,0.281199992
