Step,dual,ternary
1,0.820599973,0.808099985
2,0.805400014,0.797699988
3,0.837000012,0.840200007
4,0.848699987,0.819000006
5,0.8204,0.842999995
6,0.845399976,0.800000012
7,0.850099981,0.862600029
8,0.850700021,0.853500009
9,0.850399971,0.845200002
10,0.846000016,0.829599977
11,0.879700005,0.878000021
12,0.880699992,0.879499972
13,0.880800009,0.879199982
14,0.879700005,0.878099978
15,0.879599988,0.880400002
16,0.880800009,0.878400028
17,0.878700018,0.878199995
18,0.879100025,0.877600014
19,0.878300011,0.876800001
20,0.877200007,0.876699984
21,0.878099978,0.876600027
22,0.877399981,0.876900017
23,0.878099978,0.876999974
24,0.879199982,0.876800001
25,0.879199982,0.876600027
26,0.878899992,0.87650001
27,0.878400028,0.877099991
28,0.878300011,0.87650001
29,0.878499985,0.876900017
30,0.879299998,0.876100004
31,0.879199982,0.876600027
32,0.879299998,0.876399994
33,0.880100012,0.877300024
34,0.879599988,0.876600027
35,0.878199995,0.876600027
36,0.879999995,0.876900017
37,0.879000008,0.877300024
38,0.879299998,0.876600027
39,0.879700005,0.876600027
40,0.880100012,0.876800001
