Adversary-Model,std-normal,std-fgsm,repmix-0.5-normal,repmix-0.5-fgsm,repmix-2.0-normal,repmix-2.0-fgsm
AlexNet,77.8,33.8,77.87,35.76,77.77,35.45
ResNet18,77.8,17.42,77.09,19.57,77.91,18.78
ResNet50,77.8,23.12,77.14,26.43,76.25,25.89
VGG19,77.8,44.59,77.64,46.66,77.79,47.17
DenseNet169,77.8,24.04,76.95,26.32,77.92,26.04
GoogleNet,77.8,25.93,78.02,29.51,29.51,28.51
