Adversary-Model,std-normal,std-fgsm,repmix-0.5-normal,repmix-0.5-fgsm,repmix-2.0-normal,repmix-2.0-fgsm
AlexNet,76.57,35.82,75.01,38.29,76.04,38.1
ResNet18,76.57,18.87,77.78,19.7,76.81,21.54
ResNet34,76.57,18.42,77.68,20.76,77.22,20.56
VGG19,76.57,44.94,76.02,46.16,75.3,48.17
DenseNet169,76.57,24.9,76.04,26.32,77.65,27.01
GoogleNet,76.57,27.28,75.93,29.03,77.14,29.11
