Step,0.5000 ,1.0000 ,2.0000 
1,0.8206 ,0.8333 ,0.8379 
2,0.8054 ,0.8176 ,0.8251 
3,0.8370 ,0.8348 ,0.8408 
4,0.8487 ,0.8400 ,0.8249 
5,0.8204 ,0.8465 ,0.8123 
6,0.8454 ,0.8472 ,0.8254 
7,0.8501 ,0.8462 ,0.8176 
8,0.8507 ,0.8482 ,0.8428 
9,0.8504 ,0.8534 ,0.8225 
10,0.8460 ,0.8516 ,0.8517 
11,0.8797 ,0.8759 ,0.8757 
12,0.8807 ,0.8775 ,0.8752 
13,0.8808 ,0.8782 ,0.8759 
14,0.8797 ,0.8770 ,0.8754 
15,0.8796 ,0.8780 ,0.8763 
16,0.8808 ,0.8769 ,0.8767 
17,0.8787 ,0.8775 ,0.8762 
18,0.8791 ,0.8779 ,0.8757 
19,0.8783 ,0.8737 ,0.8771 
20,0.8772 ,0.8730 ,0.8760 
21,0.8781 ,0.8731 ,0.8763 
22,0.8774 ,0.8735 ,0.8753 
23,0.8781 ,0.8751 ,0.8760 
24,0.8792 ,0.8750 ,0.8744 
25,0.8792 ,0.8744 ,0.8759 
26,0.8789 ,0.8754 ,0.8761 
27,0.8784 ,0.8749 ,0.8755 
28,0.8783 ,0.8745 ,0.8769 
29,0.8785 ,0.8754 ,0.8775 
30,0.8793 ,0.8747 ,0.8774 
31,0.8792 ,0.8747 ,0.8766 
32,0.8793 ,0.8737 ,0.8771 
33,0.8801 ,0.8756 ,0.8769 
34,0.8796 ,0.8754 ,0.8775 
35,0.8782 ,0.8751 ,0.8779 
36,0.8800 ,0.8745 ,0.8770 
37,0.8790 ,0.8753 ,0.8779 
38,0.8793 ,0.8751 ,0.8773 
39,0.8797 ,0.8744 ,0.8766 
40,0.8801 ,0.8746 ,0.8763 
