Step,dual,ternary
1,0.1184,0.135700002
2,0.141200006,0.140300006
3,0.149100006,0.126599997
4,0.148900002,0.116099998
5,0.158000007,0.105599999
6,0.131200001,0.134499997
7,0.109700002,0.105700001
8,0.116099998,0.123099998
9,0.124300003,0.114200003
10,0.112199999,0.115999997
11,0.154499993,0.150299996
12,0.156800002,0.155599996
13,0.166700006,0.163699999
14,0.177100003,0.169699997
15,0.189999998,0.175500005
16,0.198300004,0.178000003
17,0.195500001,0.181099996
18,0.206900001,0.180099994
19,0.211099997,0.187000006
20,0.217600003,0.180000007
21,0.218500003,0.182600006
22,0.219500005,0.182600006
23,0.218199998,0.184
24,0.221300006,0.182699993
25,0.218999997,0.184499994
26,0.218500003,0.185699999
27,0.219500005,0.187700003
28,0.221100003,0.183300003
29,0.216800004,0.188700005
30,0.220899999,0.188099995
31,0.218700007,0.184499994
32,0.221900001,0.181700006
33,0.219600007,0.184699997
34,0.218600005,0.187000006
35,0.217299998,0.186100006
36,0.218400002,0.186299995
37,0.220300004,0.183500007
38,0.221200004,0.1822
39,0.219400004,0.1875
40,0.221399993,0.185599998
