eps,AlexNet,ResNet18,ResNet34,ResNet50,VGG19,DenseNet169,GoogleNet
0.02 ,11.80 ,8.30 ,8.61 ,13.18 ,9.14 ,9.19 ,11.07 
0.05 ,23.46 ,14.61 ,14.69 ,24.45 ,21.22 ,15.41 ,25.70 
0.10 ,14.33 ,5.61 ,6.17 ,14.40 ,17.04 ,5.14 ,18.82 
0.20 ,3.94 ,0.80 ,0.88 ,4.54 ,6.89 ,0.56 ,7.60 
0.30 ,2.15 ,0.37 ,0.44 ,2.89 ,4.62 ,0.26 ,5.10 
