eps,AlexNet,RMT-AlexNet,ResNet18,RMT-ResNet18,ResNet34,RMT-ResNet34,ResNet50,RMT-ResNet50,VGG19,RMT-VGG19,DenseNet169,RMT-DenseNet169,GoogleNet,RMT-GoogleNet
0,84.92 ,84.35 ,78.00 ,77.17 ,77.80 ,77.31 ,76.57 ,72.96 ,87.31 ,82.94 ,79.36 ,79.87 ,80.45 ,75.02 
0.02,60.00 ,79.97 ,57.81 ,68.17 ,57.90 ,68.41 ,53.78 ,68.10 ,58.30 ,78.17 ,56.48 ,69.12 ,58.21 ,72.31 
0.05,33.31 ,73.61 ,34.87 ,54.02 ,34.23 ,53.94 ,30.74 ,61.21 ,35.92 ,70.71 ,32.23 ,53.60 ,35.67 ,68.38 
0.1,5.47 ,52.68 ,7.83 ,23.57 ,8.05 ,23.69 ,6.41 ,43.70 ,5.99 ,51.31 ,6.29 ,21.15 ,7.40 ,57.60 
0.2,0.71 ,18.15 ,1.04 ,3.68 ,1.08 ,3.83 ,0.87 ,19.53 ,1.25 ,25.91 ,0.78 ,3.06 ,0.87 ,34.44 
0.3,0.16 ,6.18 ,0.23 ,0.77 ,0.24 ,0.86 ,0.21 ,9.09 ,0.25 ,12.92 ,0.21 ,0.70 ,0.33 ,18.59 
