eps,AlexNet,RMT-AlexNet,ResNet18,RMT-ResNet18,ResNet34,RMT-ResNet34,ResNet50,RMT-ResNet50,VGG19,RMT-VGG19,DenseNet169,RMT-DenseNet169,GoogleNet,RMT-GoogleNet
0,95.26,94.26,93.38,92.38,93.43,91.93,92.78,92.41,95.85,94.87,93.09,92.91,93.87,92.52
0.02,64.27 ,72.07 ,61.53 ,71.89 ,61.79 ,71.69 ,60.50 ,71.18 ,66.09 ,73.23 ,59.37 ,73.28 ,60.93 ,73.05 
0.05,27.57 ,40.94 ,25.78 ,43.82 ,25.45 ,43.26 ,23.67 ,41.37 ,28.40 ,43.05 ,23.34 ,46.33 ,24.56 ,45.48 
0.1,6.71 ,15.30 ,6.38 ,18.72 ,5.76 ,17.78 ,4.85 ,16.05 ,6.43 ,16.47 ,5.80 ,21.66 ,5.31 ,20.72 
0.2,1.44 ,4.03 ,1.50 ,6.58 ,1.14 ,5.24 ,1.10 ,4.22 ,0.63 ,3.77 ,1.17 ,7.98 ,0.90 ,7.79 
0.3,0.91 ,2.73 ,0.69 ,4.40 ,0.55 ,3.21 ,0.78 ,2.31 ,0.21 ,2.14 ,0.51 ,5.31 ,0.45 ,5.38 
