eps,AlexNet,RMT-AlexNet,ResNet18,RMT-ResNet18,ResNet34,RMT-ResNet34,ResNet50,RMT-ResNet50,VGG19,RMT-VGG19,DenseNet169,RMT-DenseNet169,GoogleNet,RMT-GoogleNet
0,95.26 ,94.26 ,93.38 ,92.38 ,93.43 ,91.93 ,92.78 ,92.41 ,95.85 ,94.87 ,93.09 ,92.91 ,93.87 ,92.52 
0.02,83.72 ,89.28 ,74.40 ,88.36 ,76.29 ,88.03 ,75.02 ,86.85 ,81.70 ,91.10 ,65.87 ,90.76 ,78.45 ,88.61 
0.05,65.86 ,79.06 ,53.51 ,81.18 ,56.15 ,81.47 ,55.17 ,76.90 ,63.59 ,83.12 ,43.10 ,87.10 ,59.30 ,80.52 
0.1,36.70 ,52.03 ,29.16 ,59.76 ,30.39 ,62.28 ,30.29 ,52.23 ,34.72 ,60.52 ,24.35 ,75.67 ,31.94 ,59.98 
0.2,20.42 ,28.33 ,16.68 ,34.46 ,17.38 ,37.20 ,17.39 ,28.39 ,19.52 ,34.24 ,14.42 ,53.56 ,17.92 ,34.45 
0.3,12.28 ,17.48 ,10.00 ,21.47 ,10.48 ,23.78 ,10.45 ,17.63 ,11.90 ,21.88 ,8.54 ,37.32 ,10.89 ,21.61 
