eps,AlexNet,RMT-AlexNet,ResNet18,RMT-ResNet18,ResNet34,RMT-ResNet34,ResNet50,RMT-ResNet50,VGG19,RMT-VGG19,DenseNet169,RMT-DenseNet169,GoogleNet,RMT-GoogleNet
0,84.92,84.35,78,77.17,77.8,77.31,76.57,72.96,87.31,82.94,79.36,79.87,80.45,75.02
0.02,52.40 ,64.20 ,48.30 ,56.60 ,48.25 ,56.86 ,44.91 ,58.09 ,54.71 ,63.85 ,48.92 ,58.11 ,49.56 ,60.63 
0.05,18.57 ,42.03 ,15.02 ,29.63 ,15.46 ,30.15 ,13.32 ,37.77 ,22.54 ,43.76 ,14.25 ,29.66 ,16.54 ,42.24 
0.1,2.37 ,16.70 ,1.35 ,6.96 ,1.42 ,7.59 ,1.24 ,15.64 ,3.76 ,20.80 ,1.33 ,6.47 ,1.69 ,20.51 
0.2,0.47 ,4.41 ,0.17 ,0.97 ,0.15 ,1.03 ,0.19 ,4.73 ,0.98 ,7.87 ,0.18 ,0.74 ,0.24 ,7.84 
0.3,0.36 ,2.51 ,0.10 ,0.47 ,0.09 ,0.53 ,0.08 ,2.97 ,0.61 ,5.23 ,0.13 ,0.39 ,0.18 ,5.28 
