Step,convex,mask
1,0.175999999,0.1592
2,0.120800003,0.1459
3,0.168799996,0.1681
4,0.171599999,0.1424
5,0.186199993,0.1558
6,0.214499995,0.1685
7,0.161200002,0.1364
8,0.191300005,0.145
9,0.163200006,0.1481
10,0.182300001,0.1263
11,0.226199999,0.1334
12,0.229100004,0.1348
13,0.232800007,0.1356
14,0.230100006,0.14
15,0.240799993,0.1395
16,0.230499998,0.1525
17,0.245700002,0.172
18,0.250999987,0.1767
19,0.2447,0.1646
20,0.270200014,0.1668
21,0.272599995,0.1829
22,0.271800011,0.1846
23,0.274399996,0.1814
24,0.274800003,0.1888
25,0.281500012,0.1924
26,0.279500008,0.1883
27,0.283600003,0.1909
28,0.284399986,0.1895
29,0.282999992,0.1992
30,0.284299999,0.1977
31,0.284200013,0.2001
32,0.28459999,0.1992
33,0.280800015,0.1999
34,0.283600003,0.1996
35,0.286599994,0.1991
36,0.284000009,0.199
37,0.289200008,0.1994
38,0.286799997,0.2011
39,0.286300004,0.1933
40,0.287200004,0.1978
