Step,convex,mask
1,0.175699994,0.1627
2,0.157000005,0.1317
3,0.166299999,0.128
4,0.197799996,0.1408
5,0.177000001,0.1661
6,0.195800006,0.1568
7,0.178900003,0.1258
8,0.196500003,0.132
9,0.163399994,0.1227
10,0.185599998,0.1152
11,0.208800003,0.1471
12,0.219699994,0.1374
13,0.222100005,0.1444
14,0.2245,0.1486
15,0.235599995,0.1579
16,0.241099998,0.1831
17,0.248300001,0.1937
18,0.262199998,0.1855
19,0.252499998,0.1873
20,0.25150001,0.2019
21,0.252000004,0.2042
22,0.256000012,0.2059
23,0.262100011,0.2076
24,0.269199997,0.212
25,0.266799986,0.2101
26,0.267199993,0.21
27,0.271699995,0.2128
28,0.271600008,0.212
29,0.26820001,0.2094
30,0.278699994,0.2164
31,0.273299992,0.2166
32,0.273400009,0.211
33,0.276600003,0.213
34,0.278699994,0.2132
35,0.272500008,0.2154
36,0.273799986,0.2128
37,0.271800011,0.2156
38,0.275299996,0.2165
39,0.2764,0.214
40,0.281199992,0.2138
