Step,convex,mask
1,0.808099985,0.8128
2,0.797699988,0.8266
3,0.840200007,0.8141
4,0.819000006,0.8287
5,0.842999995,0.8317
6,0.800000012,0.8391
7,0.862600029,0.8326
8,0.853500009,0.8504
9,0.845200002,0.8544
10,0.829599977,0.8259
11,0.878000021,0.8769
12,0.879499972,0.8795
13,0.879199982,0.8798
14,0.878099978,0.8794
15,0.880400002,0.8786
16,0.878400028,0.878
17,0.878199995,0.8776
18,0.877600014,0.8766
19,0.876800001,0.8783
20,0.876699984,0.8761
21,0.876600027,0.8784
22,0.876900017,0.8794
23,0.876999974,0.8793
24,0.876800001,0.8783
25,0.876600027,0.8789
26,0.87650001,0.8791
27,0.877099991,0.8805
28,0.87650001,0.8788
29,0.876900017,0.8794
30,0.876100004,0.8793
31,0.876600027,0.8789
32,0.876399994,0.8786
33,0.877300024,0.8802
34,0.876600027,0.8795
35,0.876600027,0.879
36,0.876900017,0.8785
37,0.877300024,0.8791
38,0.876600027,0.8796
39,0.876600027,0.8792
40,0.876800001,0.8791
