Step,convex,mask
1,0.830200016,0.8128
2,0.853600025,0.8266
3,0.83829999,0.8141
4,0.826499999,0.8287
5,0.823099971,0.8317
6,0.83829999,0.8391
7,0.828700006,0.8326
8,0.848100007,0.8504
9,0.835099995,0.8544
10,0.841099977,0.8259
11,0.877600014,0.8769
12,0.879499972,0.8795
13,0.879299998,0.8798
14,0.880699992,0.8794
15,0.879899979,0.8786
16,0.880200028,0.878
17,0.879199982,0.8776
18,0.880800009,0.8766
19,0.877600014,0.8783
20,0.879100025,0.8761
21,0.879899979,0.8784
22,0.879700005,0.8794
23,0.879499972,0.8793
24,0.879599988,0.8783
25,0.878300011,0.8789
26,0.877399981,0.8791
27,0.878199995,0.8805
28,0.878000021,0.8788
29,0.878499985,0.8794
30,0.879000008,0.8793
31,0.879700005,0.8789
32,0.879000008,0.8786
33,0.879599988,0.8802
34,0.879700005,0.8795
35,0.879599988,0.879
36,0.878199995,0.8785
37,0.878799975,0.8791
38,0.880200028,0.8796
39,0.879199982,0.8792
40,0.879999995,0.8791
