Step,convex,mask
1,0.7891 ,0.7791 
2,0.7709 ,0.7919 
3,0.8085 ,0.7671 
4,0.7838 ,0.7870 
5,0.8128 ,0.8119 
6,0.7980 ,0.8260 
7,0.8176 ,0.8290 
8,0.8049 ,0.8379 
9,0.8163 ,0.8239 
10,0.8190 ,0.8148 
11,0.8662 ,0.8725 
12,0.8648 ,0.8735 
13,0.8635 ,0.8760 
14,0.8608 ,0.8723 
15,0.8609 ,0.8733 
16,0.8616 ,0.8711 
17,0.8621 ,0.8696 
18,0.8594 ,0.8677 
19,0.8607 ,0.8696 
20,0.8614 ,0.8667 
21,0.8616 ,0.8715 
22,0.8629 ,0.8714 
23,0.8624 ,0.8687 
24,0.8630 ,0.8699 
25,0.8632 ,0.8707 
26,0.8625 ,0.8693 
27,0.8617 ,0.8701 
28,0.8621 ,0.8686 
29,0.8620 ,0.8704 
30,0.8618 ,0.8700 
31,0.8612 ,0.8690 
32,0.8616 ,0.8687 
33,0.8617 ,0.8688 
34,0.8623 ,0.8697 
35,0.8619 ,0.8697 
36,0.8623 ,0.8687 
37,0.8611 ,0.8701 
38,0.8608 ,0.8715 
39,0.8610 ,0.8685 
40,0.8615 ,0.8696 
