Step,convex,mask
1,0.135700002,0.1008
2,0.140300006,0.0929
3,0.126599997,0.183
4,0.116099998,0.1985
5,0.105599999,0.1777
6,0.134499997,0.1199
7,0.105700001,0.1299
8,0.123099998,0.1389
9,0.114200003,0.1418
10,0.115999997,0.1118
11,0.150299996,0.1499
12,0.155599996,0.1601
13,0.163699999,0.1703
14,0.169699997,0.1785
15,0.175500005,0.1912
16,0.178000003,0.1855
17,0.181099996,0.1944
18,0.180099994,0.1937
19,0.187000006,0.1949
20,0.180000007,0.1916
21,0.182600006,0.1973
22,0.182600006,0.1997
23,0.184,0.1992
24,0.182699993,0.1957
25,0.184499994,0.1983
26,0.185699999,0.1996
27,0.187700003,0.2007
28,0.183300003,0.2007
29,0.188700005,0.2035
30,0.188099995,0.2033
31,0.184499994,0.2011
32,0.181700006,0.2002
33,0.184699997,0.201
34,0.187000006,0.2045
35,0.186100006,0.2039
36,0.186299995,0.2009
37,0.183500007,0.2035
38,0.1822,0.2045
39,0.1875,0.2022
40,0.185599998,0.1998
