Step,convex,mask
1,0.779200017,0.7791
2,0.814899981,0.7919
3,0.797100008,0.7671
4,0.819700003,0.787
5,0.799600005,0.8119
6,0.814899981,0.826
7,0.825800002,0.829
8,0.824999988,0.8379
9,0.833500028,0.8239
10,0.823800027,0.8148
11,0.869700015,0.8725
12,0.868499994,0.8735
13,0.867500007,0.876
14,0.868700027,0.8723
15,0.868799984,0.8733
16,0.86650002,0.8711
17,0.866400003,0.8696
18,0.864799976,0.8677
19,0.864499986,0.8696
20,0.868799984,0.8667
21,0.869000018,0.8715
22,0.868700027,0.8714
23,0.869599998,0.8687
24,0.868399978,0.8699
25,0.869400024,0.8707
26,0.868499994,0.8693
27,0.869300008,0.8701
28,0.867900014,0.8686
29,0.869700015,0.8704
30,0.869000018,0.87
31,0.869700015,0.869
32,0.869400024,0.8687
33,0.869899988,0.8688
34,0.869599998,0.8697
35,0.868700027,0.8697
36,0.869199991,0.8687
37,0.869899988,0.8701
38,0.869099975,0.8715
39,0.869000018,0.8685
40,0.869300008,0.8696
