Step,convex,mask
1,0.1638 ,0.1627 
2,0.1835 ,0.1317 
3,0.1822 ,0.1280 
4,0.1750 ,0.1408 
5,0.1311 ,0.1661 
6,0.2011 ,0.1568 
7,0.1627 ,0.1258 
8,0.1805 ,0.1320 
9,0.1720 ,0.1227 
10,0.1736 ,0.1152 
11,0.1790 ,0.1471 
12,0.1898 ,0.1374 
13,0.1927 ,0.1444 
14,0.2004 ,0.1486 
15,0.2053 ,0.1579 
16,0.2045 ,0.1831 
17,0.2174 ,0.1937 
18,0.2313 ,0.1855 
19,0.2213 ,0.1873 
20,0.2142 ,0.2019 
21,0.2202 ,0.2042 
22,0.2246 ,0.2059 
23,0.2231 ,0.2076 
24,0.2256 ,0.2120 
25,0.2306 ,0.2101 
26,0.2302 ,0.2100 
27,0.2321 ,0.2128 
28,0.2318 ,0.2120 
29,0.2296 ,0.2094 
30,0.2348 ,0.2164 
31,0.2323 ,0.2166 
32,0.2360 ,0.2110 
33,0.2337 ,0.2130 
34,0.2326 ,0.2132 
35,0.2336 ,0.2154 
36,0.2348 ,0.2128 
37,0.2372 ,0.2156 
38,0.2368 ,0.2165 
39,0.2345 ,0.2140 
40,0.2304 ,0.2138 
