Step,convex,mask
1,0.1465 ,0.1023 
2,0.1287 ,0.1509 
3,0.1260 ,0.1849 
4,0.1054 ,0.1812 
5,0.0922 ,0.1296 
6,0.1177 ,0.1494 
7,0.1342 ,0.1283 
8,0.1139 ,0.1418 
9,0.1145 ,0.1361 
10,0.1193 ,0.1274 
11,0.1360 ,0.1344 
12,0.1512 ,0.1425 
13,0.1591 ,0.1434 
14,0.1734 ,0.1533 
15,0.1813 ,0.1567 
16,0.1839 ,0.1598 
17,0.1938 ,0.1593 
18,0.1913 ,0.1645 
19,0.1868 ,0.1728 
20,0.1938 ,0.1743 
21,0.1914 ,0.1685 
22,0.1938 ,0.1738 
23,0.1911 ,0.1750 
24,0.1940 ,0.1717 
25,0.1940 ,0.1726 
26,0.1949 ,0.1753 
27,0.1969 ,0.1777 
28,0.1974 ,0.1758 
29,0.1980 ,0.1785 
30,0.1975 ,0.1830 
31,0.1947 ,0.1814 
32,0.1964 ,0.1787 
33,0.1974 ,0.1781 
34,0.1960 ,0.1770 
35,0.1941 ,0.1768 
36,0.1963 ,0.1826 
37,0.1958 ,0.1780 
38,0.1975 ,0.1768 
39,0.1982 ,0.1781 
40,0.1976 ,0.1815 
