Step,convex,mask
1,0.1611,0.1592
2,0.1831,0.1459
3,0.169599995,0.1681
4,0.181199998,0.1424
5,0.159500003,0.1558
6,0.167500004,0.1685
7,0.185699999,0.1364
8,0.170699999,0.145
9,0.186499998,0.1481
10,0.169599995,0.1263
11,0.218799993,0.1334
12,0.221399993,0.1348
13,0.215800002,0.1356
14,0.221699998,0.14
15,0.220899999,0.1395
16,0.231600001,0.1525
17,0.228699997,0.172
18,0.233500004,0.1767
19,0.242400005,0.1646
20,0.248600006,0.1668
21,0.25,0.1829
22,0.250999987,0.1846
23,0.257200003,0.1814
24,0.25909999,0.1888
25,0.261500001,0.1924
26,0.262699991,0.1883
27,0.265899986,0.1909
28,0.2676,0.1895
29,0.266400009,0.1992
30,0.272300005,0.1977
31,0.273400009,0.2001
32,0.270700008,0.1992
33,0.273099989,0.1999
34,0.271200001,0.1996
35,0.274100006,0.1991
36,0.274199992,0.199
37,0.274599999,0.1994
38,0.276499987,0.2011
39,0.275599986,0.1933
40,0.274100006,0.1978
