eps,AlexNet,ResNet18,ResNet34,ResNet50,VGG19,DenseNet169,GoogleNet
0.02 ,19.97 ,10.36 ,10.51 ,14.32 ,19.87 ,12.64 ,14.10 
0.05 ,40.30 ,19.15 ,19.71 ,30.47 ,34.79 ,21.37 ,32.71 
0.10 ,47.21 ,15.74 ,15.64 ,37.29 ,45.32 ,14.86 ,50.20 
0.20 ,17.44 ,2.64 ,2.75 ,18.66 ,24.66 ,2.28 ,33.57 
0.30 ,6.02 ,0.54 ,0.62 ,8.88 ,12.67 ,0.49 ,18.26 
