eps,AlexNet,ResNet18,ResNet34,ResNet50,VGG19,DenseNet169,GoogleNet
0.02 ,7.80 ,10.36 ,9.90 ,10.68 ,7.14 ,13.91 ,12.12 
0.05 ,13.37 ,18.04 ,17.81 ,17.70 ,14.65 ,22.99 ,20.92 
0.10 ,8.59 ,12.34 ,12.02 ,11.20 ,10.04 ,15.86 ,15.41 
0.20 ,2.59 ,5.08 ,4.10 ,3.12 ,3.14 ,6.81 ,6.89 
0.30 ,1.82 ,3.71 ,2.66 ,1.53 ,1.93 ,4.80 ,4.93 
